"year","state","Auto","Bus","Truck","Motorcycle"
"1900","Alabama","40","0","0","0"
"1900","Alaska","0","0","0","0"
"1900","Arizona","20","0","0","0"
"1900","Arkansas","20","0","0","0"
"1900","California","780","0","0","0"
"1900","Colorado","90","0","0","0"
"1900","Connecticut","160","0","0","0"
"1900","Delaware","30","0","0","0"
"1900","District of Columbia","80","0","0","0"
"1900","Florida","10","0","0","0"
"1900","Georgia","80","0","0","0"
"1900","Hawaii","0","0","0","0"
"1900","Idaho","10","0","0","0"
"1900","Illinois","600","0","0","0"
"1900","Indiana","170","0","0","0"
"1900","Iowa","40","0","0","0"
"1900","Kansas","220","0","0","0"
"1900","Kentucky","40","0","0","0"
"1900","Louisiana","60","0","0","0"
"1900","Maine","70","0","0","0"
"1900","Maryland","80","0","0","0"
"1900","Massachusetts","600","0","0","0"
"1900","Michigan","360","0","0","0"
"1900","Minnesota","260","0","0","0"
"1900","Mississippi","20","0","0","0"
"1900","Missouri","180","0","0","0"
"1900","Montana","20","0","0","0"
"1900","Nebraska","60","0","0","0"
"1900","Nevada","10","0","0","0"
"1900","New Hampshire","50","0","0","0"
"1900","New Jersey","300","0","0","0"
"1900","New Mexico","10","0","0","0"
"1900","New York","500","0","0","0"
"1900","North Carolina","50","0","0","0"
"1900","North Dakota","80","0","0","0"
"1900","Ohio","480","0","0","0"
"1900","Oklahoma","10","0","0","0"
"1900","Oregon","80","0","0","0"
"1900","Pennsylvania","1,480","0","0","0"
"1900","Rhode Island","130","0","0","0"
"1900","South Carolina","40","0","0","0"
"1900","South Dakota","50","0","0","0"
"1900","Tennessee","40","0","0","0"
"1900","Texas","180","0","0","0"
"1900","Utah","20","0","0","0"
"1900","Vermont","30","0","0","0"
"1900","Virginia","40","0","0","0"
"1900","Washington","130","0","0","0"
"1900","West Virginia","20","0","0","0"
"1900","Wisconsin","160","0","0","0"
"1900","Wyoming","10","0","0","0"
"1901","Alabama","60","0","0","0"
"1901","Alaska","0","0","0","0"
"1901","Arizona","30","0","0","0"
"1901","Arkansas","40","0","0","0"
"1901","California","1,450","0","0","0"
"1901","Colorado","150","0","0","0"
"1901","Connecticut","300","0","0","0"
"1901","Delaware","40","0","0","0"
"1901","District of Columbia","190","0","0","0"
"1901","Florida","20","0","0","0"
"1901","Georgia","150","0","0","0"
"1901","Hawaii","0","0","0","0"
"1901","Idaho","10","0","0","0"
"1901","Illinois","1,120","0","0","0"
"1901","Indiana","320","0","0","0"
"1901","Iowa","60","0","0","0"
"1901","Kansas","370","0","0","0"
"1901","Kentucky","80","0","0","0"
"1901","Louisiana","120","0","0","0"
"1901","Maine","130","0","0","0"
"1901","Maryland","160","0","0","0"
"1901","Massachusetts","1,090","0","0","0"
