"Year","State","Area","FClass","VMT"
"2023","Alabama","Rural","Interstate","6,903,334,100"
"2023","Alabama","Rural","Other Freeways and Expressways","0"
"2023","Alabama","Rural","Other Principal Arterial","5,798,631,330"
"2023","Alabama","Rural","Minor Arterial","4,655,664,000"
"2023","Alabama","Rural","Major Collector","4,437,644,400"
"2023","Alabama","Rural","Minor Collector","1,361,632,140"
"2023","Alabama","Rural","Local","6,073,265,300"
"2023","Alabama","Urban","Interstate","9,667,677,030"
"2023","Alabama","Urban","Other Freeways and Expressways","615,149,970"
"2023","Alabama","Urban","Other Principal Arterial","9,566,817,840"
"2023","Alabama","Urban","Minor Arterial","7,273,939,010"
"2023","Alabama","Urban","Major Collector","4,300,528,160"
"2023","Alabama","Urban","Minor Collector","111,222,700"
"2023","Alabama","Urban","Local","11,523,106,210"
"2023","Alaska","Rural","Interstate","862,999,650"
"2023","Alaska","Rural","Other Freeways and Expressways","0"
"2023","Alaska","Rural","Other Principal Arterial","294,368,600"
"2023","Alaska","Rural","Minor Arterial","119,745,860"
"2023","Alaska","Rural","Major Collector","322,831,390"
"2023","Alaska","Rural","Minor Collector","243,349,150"
"2023","Alaska","Rural","Local","623,701,420"
"2023","Alaska","Urban","Interstate","783,641,120"
"2023","Alaska","Urban","Other Freeways and Expressways","0"
"2023","Alaska","Urban","Other Principal Arterial","857,834,570"
"2023","Alaska","Urban","Minor Arterial","509,498,350"
"2023","Alaska","Urban","Major Collector","238,512,040"
"2023","Alaska","Urban","Minor Collector","110,060,960"
"2023","Alaska","Urban","Local","650,685,870"
"2023","Arizona","Rural","Interstate","7,743,760,330"
"2023","Arizona","Rural","Other Freeways and Expressways","125,148,690"
"2023","Arizona","Rural","Other Principal Arterial","4,080,972,770"
"2023","Arizona","Rural","Minor Arterial","2,270,672,600"
"2023","Arizona","Rural","Major Collector","1,878,016,550"
"2023","Arizona","Rural","Minor Collector","628,510,290"
"2023","Arizona","Rural","Local","1,392,293,230"
"2023","Arizona","Urban","Interstate","8,533,267,860"
"2023","Arizona","Urban","Other Freeways and Expressways","10,112,611,000"
"2023","Arizona","Urban","Other Principal Arterial","8,158,318,350"
"2023","Arizona","Urban","Minor Arterial","16,235,819,640"
"2023","Arizona","Urban","Major Collector","5,744,746,750"
"2023","Arizona","Urban","Minor Collector","1,946,722,510"
"2023","Arizona","Urban","Local","6,446,607,370"
"2023","Arkansas","Rural","Interstate","4,711,540,890"
"2023","Arkansas","Rural","Other Freeways and Expressways","354,048,390"
"2023","Arkansas","Rural","Other Principal Arterial","3,896,275,420"
"2023","Arkansas","Rural","Minor Arterial","2,899,370,010"
